index,st_name,year,indv_id,pc_no,pc_name,pc_type,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors,max_votes,winner,id,handle
1,Andaman & Nicobar Islands,2014,2601,1,Andaman & Nicobar Islands,GEN,Bishnu Pada Ray,M,BJP,BJP,90969,269360,90969,1,1,@andamanmp
2,Andhra Pradesh,2014,101,1,Adilabad ,ST,Godam Nagesh,M,TRS,TRS,430847,1386282,430847,1,2,@nageshgodam
3,Andhra Pradesh,2014,102,2,Peddapalle ,,Balka Suman,M,TRS,TRS,565496,1425355,565496,1,3,@balkasumantrs
4,Andhra Pradesh,2014,103,3,Karimnagar ,GEN,Vinod Kumar Boinapally,M,TRS,TRS,505358,1550810,505358,1,4,@vinodboianpalli
5,Andhra Pradesh,2014,104,4,Nizamabad,GEN,Kalvakuntla Kavitha,F,TRS,TRS,439307,1496193,439307,1,5,@RaoKavitha
6,Andhra Pradesh,2014,105,5,Zahirabad,GEN,B.B. Patil,M,TRS,TRS,508661,1445354,508661,1,6,-
7,Andhra Pradesh,2014,106,6,Medak,GEN,Kalvakuntla Chandrasekhar Rao,M,TRS,TRS,657492,1536166,657492,1,7,-
8,Andhra Pradesh,2014,107,7,Malkajgiri,GEN,Ch.Malla Reddy,M,TDP,TDP,523356,3183083,523356,1,8,@ChMallareddyMP 
9,Andhra Pradesh,2014,108,8,Secundrabad,GEN,Bandaru Dattatreya,M,BJP,BJP,438271,1893741,438271,1,9,@Dattatreya 
10,Andhra Pradesh,2014,109,9,Hyderabad,GEN,Asaduddin Owaisi,M,AIMIM,AIMIM,513868,1823217,513868,1,10,@asadowaisi
11,Andhra Pradesh,2014,110,10,Chelvella,GEN,Konda Vishweshwar Reddy,M,TRS,TRS,435077,2185164,435077,1,11,@VishweshwarRed1 
12,Andhra Pradesh,2014,111,11,Mahbubnagar,GEN,Ap Jithender Reddy,M,TRS,TRS,334228,1418668,334228,1,12,-
13,Andhra Pradesh,2014,112,12,Nagarkurnool,SC,Yellaiah Nandi,M,INC,INC,420075,1477305,420075,1,13,@yellaiahnandi
14,Andhra Pradesh,2014,113,13,Nalgonda,GEN,Gutha Sukhender Reddy,M,INC,INC,472093,1494343,472093,1,14,-
15,Andhra Pradesh,2014,114,14,Bhongir ,GEN,Dr. Boora Narsaiah Goud,M,TRS,TRS,448164,1492240,448164,1,15,-
16,Andhra Pradesh,2014,115,15,Warangal,SC,Kadiyam Srihari,M,TRS,TRS,661639,1537778,661639,1,16,@KadiyamSrihari
17,Andhra Pradesh,2014,116,16,Mahabubabad  ,ST,Prof. Azmeera Seetaram Naik,M,TRS,TRS,320569,1387288,320569,1,17,-
18,Andhra Pradesh,2014,117,17,Khammam ,GEN,Ponguleti Srinivasa Reddy,M,YSRCP,YSRCP,422434,1440267,422434,1,18,-
19,Andhra Pradesh,2014,118,18,Aruku ,ST,Kothapalli Geetha,F,YSRCP,YSRCP,413191,1272340,413191,1,19,@Geethak_MP 
20,Andhra Pradesh,2014,119,19,Srikakulam,GEN,Rammohan Naidu Kinjarapu,M,TDP,TDP,556545,1413726,556545,1,20,-
21,Andhra Pradesh,2014,120,20,Vizianagaram,GEN,Ashok Gajapathi Raju Pusapati,M,TDP,TDP,536549,1403736,536549,1,21,@Ashok_Gajapathi
22,Andhra Pradesh,2014,121,21,Visakhapatnam,GEN,Kambhampati Hari Babu,M,BJP,BJP,566832,1723011,566832,1,22,-
23,Andhra Pradesh,2014,122,22,Anakapalli,GEN,Muttamsetti Srinivasa Rao (Avanthi),M,TDP,TDP,568463,1401474,568463,1,23,-
24,Andhra Pradesh,2014,123,23,Kakinada,GEN,Thota Narasimham,M,TDP,TDP,514402,1418290,514402,1,24,@kkdmpnarasimham 
25,Andhra Pradesh,2014,124,24,Amalapuram ,SC,Dr Pandula Ravindra Babu,M,TDP,TDP,594547,1357865,594547,1,25,-
