"State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_type_TCPD","Party_ID","Max_Poll_No","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest"
"Andaman_&_Nicobar_Islands",16,1,2014,4,0,4,1,"BISHNU PADA RAY","M","BJP",90969,"GEN",190328,269360,"ANDAMAN & NICOBAR ISLANDS","GEN","",15,70.66,47.8,"no",7812,4.1,2.38,"GEAN42196","National Party",1605,0,TRUE,7,"BJP",1605,,,TRUE,3,FALSE,TRUE,TRUE
"Andaman_&_Nicobar_Islands",16,1,2014,4,0,4,2,"KULDEEP RAI SHARMA","M","INC",83157,"GEN",190328,269360,"ANDAMAN & NICOBAR ISLANDS","GEN","",15,70.66,43.69,"no",79420,41.73,2.38,"GEAN64836","National Party",3482,0,TRUE,3,"INC",3482,,,TRUE,0,FALSE,FALSE,TRUE
"Andaman_&_Nicobar_Islands",16,1,2014,4,0,4,3,"SANJAY MESHACK","M","AAAP",3737,"GEN",190328,269360,"ANDAMAN & NICOBAR ISLANDS","GEN","",15,70.66,1.96,"yes",1454,0.76,2.38,"GEAN14920","State-based Party",13,0,TRUE,1,"",,,,,0,FALSE,FALSE,FALSE
"Andaman_&_Nicobar_Islands",16,1,2014,4,0,4,4,"ANITA MONDAL","F","AITC",2283,"GEN",190328,269360,"ANDAMAN & NICOBAR ISLANDS","GEN","",15,70.66,1.2,"yes",506,0.27,2.38,"GEAN14914","State-based Party",18228,0,TRUE,1,"",,,,,0,FALSE,FALSE,FALSE
"Andaman_&_Nicobar_Islands",16,1,2014,4,0,4,5,"K.G.DAS","M","CPM",1777,"GEN",190328,269360,"ANDAMAN & NICOBAR ISLANDS","GEN","",15,70.66,0.93,"yes",190,0.1,2.38,"GEAN14910","State-based Party",14635,0,TRUE,1,"",,,,,0,FALSE,FALSE,FALSE
"Andaman_&_Nicobar_Islands",16,1,2014,4,0,4,6,"PRAKASH MINJ","M","IND",1587,"ST",190328,269360,"ANDAMAN & NICOBAR ISLANDS","GEN","",15,70.66,0.83,"yes",23,0.01,2.38,"GEAN14918","Independents",10809,0,TRUE,1,"",,,,,0,FALSE,FALSE,FALSE
"Andaman_&_Nicobar_Islands",16,1,2014,4,0,4,7,"None of the Above","NOTA","NOTA",1564,"NULL",190328,269360,"ANDAMAN & NICOBAR ISLANDS","GEN","",15,70.66,0.82,"yes",413,0.22,2.38,"","NOTA",5897,0,TRUE,1,"",,,,,0,FALSE,FALSE,FALSE
"Andaman_&_Nicobar_Islands",16,1,2014,4,0,4,8,"R.S.UMA BHARATTHY","F","NCP",1151,"GEN",190328,269360,"ANDAMAN & NICOBAR ISLANDS","GEN","",15,70.66,0.6,"yes",12,0.01,2.38,"GEAN73948","State-based Party",5792,0,TRUE,2,"NCP",5792,,,TRUE,0,FALSE,FALSE,FALSE
"Andaman_&_Nicobar_Islands",16,1,2014,4,0,4,9,"GOUR CHANDRA MAJUMDER","M","BSP",1139,"GEN",190328,269360,"ANDAMAN & NICOBAR ISLANDS","GEN","",15,70.66,0.6,"yes",292,0.15,2.38,"GEAN73949","State-based Party",16651,0,TRUE,2,"IND",10809,,,FALSE,0,FALSE,FALSE,FALSE
"Andaman_&_Nicobar_Islands",16,1,2014,4,0,4,10,"SARAVANAN","M","IND",847,"GEN",190328,269360,"ANDAMAN & NICOBAR ISLANDS","GEN","",15,70.66,0.45,"yes",411,0.22,2.38,"GEAN14916","Independents",10809,0,TRUE,1,"",,,,,0,FALSE,FALSE,FALSE
"Andaman_&_Nicobar_Islands",16,1,2014,4,0,4,11,"N K P NAIR","M","CPI(ML)(L)",436,"GEN",190328,269360,"ANDAMAN & NICOBAR ISLANDS","GEN","",15,70.66,0.23,"yes",7,0,2.38,"GEAN14911","Local Party",9890,0,TRUE,1,"",,,,,0,FALSE,FALSE,FALSE
"Andaman_&_Nicobar_Islands",16,1,2014,4,0,4,12,"V V KHALID","M","IND",429,"GEN",190328,269360,"ANDAMAN & NICOBAR ISLANDS","GEN","",15,70.66,0.23,"yes",50,0.03,2.38,"GEAN14915","Independents",10809,0,TRUE,1,"",,,,,0,FALSE,FALSE,FALSE
